행정기관,전체,남자,여자,65세이상 전체,65세이상 남자,65세이상 여자
서울특별시  ,"9,335,734","4,504,618","4,831,116","1,840,543","814,687","1,025,856"
부산광역시  ,"3,259,219","1,585,597","1,673,622","791,106","346,073","445,033"
대구광역시  ,"2,360,493","1,157,424","1,203,069","500,067","215,861","284,206"
인천광역시  ,"3,031,361","1,514,643","1,516,718","545,046","244,793","300,253"
광주광역시  ,"1,402,478","692,193","710,285","250,442","108,481","141,961"
대전광역시  ,"1,439,482","717,532","721,950","264,018","117,524","146,494"
울산광역시  ,"1,095,014","563,688","531,326","192,500","89,663","102,837"
세종특별자치시  ,"391,812","194,941","196,871","46,135","20,899","25,236"
경기도  ,"13,699,381","6,883,349","6,816,032","2,315,392","1,048,499","1,266,893"
강원특별자치도  ,"1,512,969","760,801","752,168","390,774","175,202","215,572"
충청북도  ,"1,590,512","809,881","780,631","354,120","159,332","194,788"
충청남도  ,"2,135,628","1,095,977","1,039,651","483,053","216,089","266,964"
전북특별자치도  ,"1,733,574","863,734","869,840","444,211","193,575","250,636"
전라남도  ,"1,785,193","901,154","884,039","491,208","213,223","277,985"
경상북도  ,"2,523,173","1,276,834","1,246,339","667,063","293,765","373,298"
경상남도  ,"3,219,574","1,623,318","1,596,256","715,162","316,285","398,877"
제주특별자치도  ,"667,739","333,814","333,925","128,441","56,498","71,943"